Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.05,-.38,-.13,-.02,-.84,-.51,-.26,-.15,-.10,-.05,.05,.63
1881,-.08,-.17,-.01,-.34,.10,-.08,-.93,-.46,-.17,.10,.11,-.07,-.07,.55
1882,-.11,-.20,-.02,-.30,-.05,.00,-1.43,-.27,-.12,-.04,-.05,.00,.04,.58
1883,-.18,-.28,-.07,-.34,-.16,-.02,-.21,-.56,-.24,-.17,-.16,-.05,.07,.46
1884,-.29,-.43,-.15,-.61,-.15,-.15,-1.36,-.67,-.45,-.13,-.17,-.20,-.02,.61
1885,-.33,-.42,-.25,-.65,-.12,-.28,-1.56,-.69,-.43,-.04,-.21,-.34,-.15,.78
1886,-.31,-.42,-.21,-.56,-.18,-.22,-1.64,-.50,-.38,-.18,-.19,-.21,-.20,.55
1887,-.36,-.42,-.29,-.52,-.28,-.29,-1.81,-.50,-.27,-.26,-.30,-.28,-.26,.28
1888,-.17,-.22,-.13,-.41,.11,-.30,-1.34,-.42,-.22,.10,.12,-.32,-.22,.12
1889,-.10,-.17,-.05,-.29,.09,-.17,-.73,-.23,-.26,.04,.13,-.16,-.15,.41
1890,-.35,-.38,-.33,-.47,-.36,-.23,-1.18,-.58,-.26,-.24,-.48,-.18,-.27,.11
1891,-.22,-.25,-.20,-.42,-.07,-.22,-1.16,-.33,-.35,.03,-.17,-.19,-.24,-.20
1892,-.27,-.38,-.16,-.43,-.28,-.09,-1.16,-.64,-.16,-.30,-.27,.01,-.21,.05
1893,-.31,-.47,-.16,-.51,-.36,-.05,-.72,-.54,-.46,-.40,-.32,.06,-.20,-.08
1894,-.30,-.37,-.23,-.32,-.33,-.25,-.99,-.32,-.17,-.45,-.20,-.16,-.35,-.42
1895,-.22,-.29,-.16,-.40,-.06,-.27,-.73,-.52,-.25,-.11,-.01,-.21,-.32,-.62
1896,-.11,-.18,-.04,-.35,.11,-.16,-.93,-.36,-.20,.09,.13,-.16,-.13,.21
1897,-.11,-.15,-.07,-.35,.17,-.25,-.61,-.46,-.22,.17,.18,-.21,-.27,.36
1898,-.27,-.26,-.28,-.33,-.21,-.28,-1.17,-.19,-.21,-.15,-.28,-.29,-.21,.34
1899,-.18,-.20,-.16,-.23,-.12,-.20,-1.09,-.08,-.13,-.14,-.10,-.17,-.22,.54
1900,-.08,-.07,-.08,-.19,.17,-.31,-.59,-.12,-.14,.12,.23,-.30,-.29,.23
1901,-.16,-.12,-.20,-.17,-.04,-.32,-.48,-.10,-.13,-.04,-.04,-.29,-.34,.22
1902,-.29,-.33,-.24,-.53,-.04,-.36,-1.46,-.51,-.31,-.01,-.08,-.29,-.43,-.09
1903,-.38,-.37,-.38,-.47,-.29,-.40,-.33,-.42,-.54,-.23,-.36,-.37,-.40,-.50
